Event,Gender,Year,Label,CutType,Time,DupCheck
1650 Free,Women,2016,2016 B,B,16:30.59,1650 FreeWomen20162016 BB
1650 Free,Women,2016,2016 Invited,I,16:17.64,1650 FreeWomen20162016 InvitedI
200 Back,Women,2016,2016 A,A,1:51.95,200 BackWomen20162016 AA
200 Back,Women,2016,2016 B,B,1:59.19,200 BackWomen20162016 BB
200 Back,Women,2016,2016 Invited,I,1:54.47,200 BackWomen20162016 InvitedI
200 Breast,Women,2016,2016 A,A,2:07.42,200 BreastWomen20162016 AA
200 Breast,Women,2016,2016 B,B,2:15.99,200 BreastWomen20162016 BB
200 Breast,Women,2016,2016 Invited,I,2:10.89,200 BreastWomen20162016 InvitedI
200 Fly,Women,2016,2016 A,A,1:54.22,200 FlyWomen20162016 AA
200 Fly,Women,2016,2016 B,B,1:59.59,200 FlyWomen20162016 BB
200 Fly,Women,2016,2016 Invited,I,1:57.02,200 FlyWomen20162016 InvitedI
200 Free,Women,2016,2016 A,A,1:43.82,200 FreeWomen20162016 AA
200 Free,Women,2016,2016 B,B,1:47.99,200 FreeWomen20162016 BB
200 Free,Women,2016,2016 Invited,I,1:45.84,200 FreeWomen20162016 InvitedI
200 Free Relay,Women,2016,2016 A,A,1:29.16,200 Free RelayWomen20162016 AA
200 Free Relay,Women,2016,2016 B,B,1:29.90,200 Free RelayWomen20162016 BB
200 Free Relay,Women,2016,2016 Invited,I,1:29.80,200 Free RelayWomen20162016 InvitedI
200 IM,Women,2016,2016 A,A,1:55.35,200 IMWomen20162016 AA
200 IM,Women,2016,2016 B,B,2:01.59,200 IMWomen20162016 BB
200 IM,Women,2016,2016 Invited,I,1:57.90,200 IMWomen20162016 InvitedI
200 Medley Relay,Women,2016,2016 A,A,1:37.46,200 Medley RelayWomen20162016 AA
200 Medley Relay,Women,2016,2016 B,B,1:37.96,200 Medley RelayWomen20162016 BB
200 Medley Relay,Women,2016,2016 Invited,I,1:37.89,200 Medley RelayWomen20162016 InvitedI
400 Free Relay,Women,2016,2016 A,A,3:16.15,400 Free RelayWomen20162016 AA
400 Free Relay,Women,2016,2016 B,B,3:17.59,400 Free RelayWomen20162016 BB
400 Free Relay,Women,2016,2016 Invited,I,3:17.59,400 Free RelayWomen20162016 InvitedI
400 IM,Women,2016,2016 A,A,4:05.37,400 IMWomen20162016 AA
400 IM,Women,2016,2016 B,B,4:19.39,400 IMWomen20162016 BB
400 IM,Women,2016,2016 Invited,I,4:11.05,400 IMWomen20162016 InvitedI
400 Medley Relay,Women,2016,2016 A,A,3:33.89,400 Medley RelayWomen20162016 AA
400 Medley Relay,Women,2016,2016 B,B,3:35.31,400 Medley RelayWomen20162016 BB
400 Medley Relay,Women,2016,2016 Invited,I,3:35.26,400 Medley RelayWomen20162016 InvitedI
50 Free,Women,2016,2016 A,A,21.86,50 FreeWomen20162016 AA
50 Free,Women,2016,2016 B,B,22.99,50 FreeWomen20162016 BB
50 Free,Women,2016,2016 Invited,I,22.35,50 FreeWomen20162016 InvitedI
500 Free,Women,2016,2016 A,A,4:36.30,500 FreeWomen20162016 AA
500 Free,Women,2016,2016 B,B,4:47.79,500 FreeWomen20162016 BB
500 Free,Women,2016,2016 Invited,I,4:42.58,500 FreeWomen20162016 InvitedI
800 Free Relay,Women,2016,2016 A,A,7:06.77,800 Free RelayWomen20162016 AA
800 Free Relay,Women,2016,2016 B,B,7:09.96,800 Free RelayWomen20162016 BB
800 Free Relay,Women,2016,2016 Invited,I,7:09.67,800 Free RelayWomen20162016 InvitedI
100 Back,Men,2015,2015 A,A,45.62,100 BackMen20152015 AA
100 Back,Men,2015,2015 B,B,48.49,100 BackMen20152015 BB
100 Back,Men,2015,2015 Invited,I,46.46,100 BackMen20152015 InvitedI
100 Breast,Men,2015,2015 A,A,52.29,100 BreastMen20152015 AA
100 Breast,Men,2015,2015 B,B,55.39,100 BreastMen20152015 BB
100 Breast,Men,2015,2015 Invited,I,52.97,100 BreastMen20152015 InvitedI
100 Fly,Men,2015,2015 A,A,45.91,100 FlyMen20152015 AA
100 Fly,Men,2015,2015 B,B,48.29,100 FlyMen20152015 BB
100 Fly,Men,2015,2015 Invited,I,46.37,100 FlyMen20152015 InvitedI
100 Free,Men,2015,2015 A,A,42.51,100 FreeMen20152015 AA
100 Free,Men,2015,2015 B,B,44.29,100 FreeMen20152015 BB
100 Free,Men,2015,2015 Invited,I,42.94,100 FreeMen20152015 InvitedI
1650 Free,Men,2015,2015 A,A,14:46.26,1650 FreeMen20152015 AA
1650 Free,Men,2015,2015 B,B,15:30.39,1650 FreeMen20152015 BB
1650 Free,Men,2015,2015 Invited,I,14:59.20,1650 FreeMen20152015 InvitedI
200 Back,Men,2015,2015 A,A,1:40.88,200 BackMen20152015 AA
200 Back,Men,2015,2015 B,B,1:46.39,200 BackMen20152015 BB
200 Back,Men,2015,2015 Invited,I,1:41.95,200 BackMen20152015 InvitedI
200 Breast,Men,2015,2015 A,A,1:53.68,200 BreastMen20152015 AA
200 Breast,Men,2015,2015 B,B,1:59.79,200 BreastMen20152015 BB
200 Breast,Men,2015,2015 Invited,I,1:55.04,200 BreastMen20152015 InvitedI
200 Fly,Men,2015,2015 A,A,1:42.85,200 FlyMen20152015 AA
200 Fly,Men,2015,2015 B,B,1:47.99,200 FlyMen20152015 BB
200 Fly,Men,2015,2015 Invited,I,1:43.74,200 FlyMen20152015 InvitedI
200 Free,Men,2015,2015 A,A,1:33.62,200 FreeMen20152015 AA
200 Free,Men,2015,2015 B,B,1:37.99,200 FreeMen20152015 BB
200 Free,Men,2015,2015 Invited,I,1:34.54,200 FreeMen20152015 InvitedI
200 Free Relay,Men,2015,2015 A,A,1:18.02,200 Free RelayMen20152015 AA
200 Free Relay,Men,2015,2015 B,B,1:18.62,200 Free RelayMen20152015 BB
200 Free Relay,Men,2015,2015 Invited,I,1:18.57,200 Free RelayMen20152015 InvitedI
200 IM,Men,2015,2015 A,A,1:42.76,200 IMMen20152015 AA
200 IM,Men,2015,2015 B,B,1:49.09,200 IMMen20152015 BB
200 IM,Men,2015,2015 Invited,I,1:44.58,200 IMMen20152015 InvitedI
200 Medley Relay,Men,2015,2015 A,A,1:25.63,200 Medley RelayMen20152015 AA
200 Medley Relay,Men,2015,2015 B,B,1:26.58,200 Medley RelayMen20152015 BB
200 Medley Relay,Men,2015,2015 Invited,I,1:26.55,200 Medley RelayMen20152015 InvitedI
400 Free Relay,Men,2015,2015 A,A,2:53.11,400 Free RelayMen20152015 AA
400 Free Relay,Men,2015,2015 B,B,2:54.66,400 Free RelayMen20152015 BB
400 Free Relay,Men,2015,2015 Invited,I,2:54.22,400 Free RelayMen20152015 InvitedI
400 IM,Men,2015,2015 A,A,3:42.40,400 IMMen20152015 AA
400 IM,Men,2015,2015 B,B,3:54.49,400 IMMen20152015 BB
400 IM,Men,2015,2015 Invited,I,3:45.34,400 IMMen20152015 InvitedI
400 Medley Relay,Men,2015,2015 A,A,3:09.40,400 Medley RelayMen20152015 AA
400 Medley Relay,Men,2015,2015 B,B,3:11.03,400 Medley RelayMen20152015 BB
400 Medley Relay,Men,2015,2015 Invted,I,3:10.06,400 Medley RelayMen20152015 InvtedI
50 Free,Men,2015,2015 A,A,19.25,50 FreeMen20152015 AA
50 Free,Men,2015,2015 B,B,20.19,50 FreeMen20152015 BB
50 Free,Men,2015,2015 Invited,I,19.52,50 FreeMen20152015 InvitedI
500 Free,Men,2015,2015 A,A,4:14.59,500 FreeMen20152015 AA
500 Free,Men,2015,2015 B,B,4:24.99,500 FreeMen20152015 BB
500 Free,Men,2015,2015 Invited,I,4:17.15,500 FreeMen20152015 InvitedI
800 Free Relay,Men,2015,2015 A,A,6:22.81,800 Free RelayMen20152015 AA
800 Free Relay,Men,2015,2015 B,B,6:26.33,800 Free RelayMen20152015 BB
800 Free Relay,Men,2015,2015 Invited,I,6:25.39,800 Free RelayMen20152015 InvitedI
100 Back,Women,2015,2015 A,A,51.63,100 BackWomen20152015 AA
100 Back,Women,2015,2015 B,B,55.09,100 BackWomen20152015 BB
100 Back,Women,2015,2015 Invited,I,52.97,100 BackWomen20152015 InvitedI
100 Breast,Women,2015,2015 A,A,59.12,100 BreastWomen20152015 AA
100 Breast,Women,2015,2015 B,B,1:02.49,100 BreastWomen20152015 BB
100 Breast,Women,2015,2015 Invited,I,1:00.68,100 BreastWomen20152015 InvitedI
100 Fly,Women,2015,2015 A,A,51.7,100 FlyWomen20152015 AA
100 Fly,Women,2015,2015 B,B,54.49,100 FlyWomen20152015 BB
100 Fly,Women,2015,2015 Invited,I,52.79,100 FlyWomen20152015 InvitedI
100 Free,Women,2015,2015 A,A,47.85,100 FreeWomen20152015 AA
100 Free,Women,2015,2015 B,B,49.99,100 FreeWomen20152015 BB
100 Free,Women,2015,2015 Invited,I,48.88,100 FreeWomen20152015 InvitedI
1650 Free,Women,2015,2015 A,A,15:56.18,1650 FreeWomen20152015 AA
1650 Free,Women,2015,2015 B,B,16:30.59,1650 FreeWomen20152015 BB
1650 Free,Women,2015,2015 Invited,I,16:17.36,1650 FreeWomen20152015 InvitedI
200 Back,Women,2015,2015 A,A,1:52.52,200 BackWomen20152015 AA
200 Back,Women,2015,2015 B,B,1:59.19,200 BackWomen20152015 BB
200 Back,Women,2015,2015 Invited,I,1:54.63,200 BackWomen20152015 InvitedI
200 Breast,Women,2015,2015 A,A,2:07.70,200 BreastWomen20152015 AA
200 Breast,Women,2015,2015 B,B,2:15.99,200 BreastWomen20152015 BB
200 Breast,Women,2015,2015 Invited,I,2:11.23,200 BreastWomen20152015 InvitedI
200 Fly,Women,2015,2015 A,A,1:54.45,200 FlyWomen20152015 AA
200 Fly,Women,2015,2015 B,B,1:59.59,200 FlyWomen20152015 BB
200 Fly,Women,2015,2015 Invited,I,1:56.92,200 FlyWomen20152015 InvitedI
200 Free,Women,2015,2015 A,A,1:43.90,200 FreeWomen20152015 AA
200 Free,Women,2015,2015 B,B,1:47.99,200 FreeWomen20152015 BB
200 Free,Women,2015,2015 Invited,I,1:45.99,200 FreeWomen20152015 InvitedI
200 Free Relay,Women,2015,2015 A,A,1:29.49,200 Free RelayWomen20152015 AA
200 Free Relay,Women,2015,2015 B,B,1:30.17,200 Free RelayWomen20152015 BB
200 IM,Women,2015,2015 A,A,1:55.35,200 IMWomen20152015 AA
200 IM,Women,2015,2015 B,B,2:01.59,200 IMWomen20152015 BB
200 IM,Women,2015,2015 Invited,I,1:58.13,200 IMWomen20152015 InvitedI
200 Medley Relay,Women,2015,2015 A,A,1:37.84,200 Medley RelayWomen20152015 AA
200 Medley Relay,Women,2015,2015 B,B,1:38.45,200 Medley RelayWomen20152015 BB
400 Free Relay,Women,2015,2015 A,A,3:16.41,400 Free RelayWomen20152015 AA
400 Free Relay,Women,2015,2015 B,B,3:18.11,400 Free RelayWomen20152015 BB
400 IM,Women,2015,2015 A,A,4:05.37,400 IMWomen20152015 AA
400 IM,Women,2015,2015 B,B,4:19.39,400 IMWomen20152015 BB
400 IM,Women,2015,2015 Invited,I,4:12.11,400 IMWomen20152015 InvitedI
400 Medley Relay,Women,2015,2015 A,A,3:34.25,400 Medley RelayWomen20152015 AA
400 Medley Relay,Women,2015,2015 B,B,3:35.87,400 Medley RelayWomen20152015 BB
50 Free,Women,2015,2015 A,A,21.9,50 FreeWomen20152015 AA
50 Free,Women,2015,2015 B,B,22.99,50 FreeWomen20152015 BB
50 Free,Women,2015,2015 Invited,I,22.39,50 FreeWomen20152015 InvitedI
500 Free,Women,2015,2015 A,A,4:36.45,500 FreeWomen20152015 AA
500 Free,Women,2015,2015 B,B,4:47.79,500 FreeWomen20152015 BB
500 Free,Women,2015,2015 Invited,I,4:42.73,500 FreeWomen20152015 InvitedI
800 Free Relay,Women,2015,2015 A,A,7:07.20,800 Free RelayWomen20152015 AA
800 Free Relay,Women,2015,2015 B,B,7:11.28,800 Free RelayWomen20152015 BB
100 Back,Men,2014,2014 A,A,45.87,100 BackMen20142014 AA
100 Back,Men,2014,2014 B,B,48.49,100 BackMen20142014 BB
100 Back,Men,2014,2014 Invited,I,46.57,100 BackMen20142014 InvitedI
100 Breast,Men,2014,2014 A,A,52.54,100 BreastMen20142014 AA
100 Breast,Men,2014,2014 B,B,55.39,100 BreastMen20142014 BB
100 Breast,Men,2014,2014 Invited,I,53.23,100 BreastMen20142014 InvitedI
100 Fly,Men,2014,2014 A,A,45.93,100 FlyMen20142014 AA
100 Fly,Men,2014,2014 B,B,48.29,100 FlyMen20142014 BB
100 Fly,Men,2014,2014 Invited,I,46.58,100 FlyMen20142014 InvitedI
100 Free,Men,2014,2014 A,A,42.54,100 FreeMen20142014 AA
100 Free,Men,2014,2014 B,B,44.29,100 FreeMen20142014 BB
100 Free,Men,2014,2014 Invited,I,42.98,100 FreeMen20142014 InvitedI
1650 Free,Men,2014,2014 A,A,14:47.19,1650 FreeMen20142014 AA
1650 Free,Men,2014,2014 B,B,15:30.39,1650 FreeMen20142014 BB
1650 Free,Men,2014,2014 Invited,I,15:03.42,1650 FreeMen20142014 InvitedI
200 Back,Men,2014,2014 A,A,1:41.41,200 BackMen20142014 AA
200 Back,Men,2014,2014 B,B,1:46.39,200 BackMen20142014 BB
200 Back,Men,2014,2014 Invited,I,1:42.41,200 BackMen20142014 InvitedI
200 Breast,Men,2014,2014 A,A,1:54.10,200 BreastMen20142014 AA
200 Breast,Men,2014,2014 B,B,1:59.79,200 BreastMen20142014 BB
200 Breast,Men,2014,2014 Invited,I,1:55.64,200 BreastMen20142014 InvitedI
200 Fly,Men,2014,2014 A,A,1:43.05,200 FlyMen20142014 AA
200 Fly,Men,2014,2014 B,B,1:47.99,200 FlyMen20142014 BB
200 Fly,Men,2014,2014 Invited,I,1:43.81,200 FlyMen20142014 InvitedI
200 Free,Men,2014,2014 A,A,1:33.58,200 FreeMen20142014 AA
200 Free,Men,2014,2014 B,B,1:37.99,200 FreeMen20142014 BB
200 Free,Men,2014,2014 Invited,I,1:34.71,200 FreeMen20142014 InvitedI
200 Free Relay,Men,2014,2014 A,A,1:18.16,200 Free RelayMen20142014 AA
200 Free Relay,Men,2014,2014 B,B,1:18.83,200 Free RelayMen20142014 BB
200 Free Relay,Men,2014,2014 Invited,I,1:18.74,200 Free RelayMen20142014 InvitedI
200 IM,Men,2014,2014 A,A,1:43.38,200 IMMen20142014 AA
200 IM,Men,2014,2014 B,B,1:49.09,200 IMMen20142014 BB
200 IM,Men,2014,2014 Invited,I,1:44.71,200 IMMen20142014 InvitedI
200 Medley Relay,Men,2014,2014 A,A,1:26.08,200 Medley RelayMen20142014 AA
200 Medley Relay,Men,2014,2014 B,B,1:27.14,200 Medley RelayMen20142014 BB
200 Medley Relay,Men,2014,2014 Invited,I,1:27.10,200 Medley RelayMen20142014 InvitedI
400 Free Relay,Men,2014,2014 A,A,2:53.48,400 Free RelayMen20142014 AA
400 Free Relay,Men,2014,2014 B,B,2:55.14,400 Free RelayMen20142014 BB
400 Free Relay,Men,2014,2014 Invited,I,2:55.10,400 Free RelayMen20142014 InvitedI
400 IM,Men,2014,2014 A,A,3:43.48,400 IMMen20142014 AA
400 IM,Men,2014,2014 B,B,3:54.49,400 IMMen20142014 BB
400 IM,Men,2014,2014 Invited,I,3:45.64,400 IMMen20142014 InvitedI
400 Medley Relay,Men,2014,2014 A,A,3:10.26,400 Medley RelayMen20142014 AA
400 Medley Relay,Men,2014,2014 B,B,3:12.00,400 Medley RelayMen20142014 BB
400 Medley Relay,Men,2014,2014 Invited,I,3:11.73,400 Medley RelayMen20142014 InvitedI
50 Free,Men,2014,2014 A,A,19.32,50 FreeMen20142014 AA
50 Free,Men,2014,2014 B,B,20.19,50 FreeMen20142014 BB
50 Free,Men,2014,2014 Invited,I,19.47,50 FreeMen20142014 InvitedI
500 Free,Men,2014,2014 A,A,4:15.29,500 FreeMen20142014 AA
500 Free,Men,2014,2014 B,B,4:24.99,500 FreeMen20142014 BB
500 Free,Men,2014,2014 Invited,I,4:18.31,500 FreeMen20142014 InvitedI
800 Free Relay,Men,2014,2014 A,A,6:24.19,800 Free RelayMen20142014 AA
800 Free Relay,Men,2014,2014 B,B,6:28.05,800 Free RelayMen20142014 BB
800 Free Relay,Men,2014,2014 Invited,I,6:26.87,800 Free RelayMen20142014 InvitedI
100 Back,Women,2014,2014 A,A,51.97,100 BackWomen20142014 AA
100 Back,Women,2014,2014 B,B,55.09,100 BackWomen20142014 BB
100 Back,Women,2014,2014 Invited,I,53.20,100 BackWomen20142014 InvitedI
100 Breast,Women,2014,2014 A,A,59.19,100 BreastWomen20142014 AA
100 Breast,Women,2014,2014 B,B,1:02.49,100 BreastWomen20142014 BB
100 Breast,Women,2014,2014 Invited,I,1:00.78,100 BreastWomen20142014 InvitedI
100 Fly,Women,2014,2014 A,A,51.90,100 FlyWomen20142014 AA
100 Fly,Women,2014,2014 B,B,54.49,100 FlyWomen20142014 BB
100 Fly,Women,2014,2014 Invited,I,52.92,100 FlyWomen20142014 InvitedI
100 Free,Women,2014,2014 A,A,47.96,100 FreeWomen20142014 AA
100 Free,Women,2014,2014 B,B,49.99,100 FreeWomen20142014 BB
100 Free,Women,2014,2014 Invited,I,48.82,100 FreeWomen20142014 InvitedI
1650 Free,Women,2014,2014 A,A,15:58.41,1650 FreeWomen20142014 AA
1650 Free,Women,2014,2014 B,B,16:30.59,1650 FreeWomen20142014 BB
1650 Free,Women,2014,2014 Invited,I,16:20.32,1650 FreeWomen20142014 InvitedI
200 Back,Women,2014,2014 A,A,1:52.71,200 BackWomen20142014 AA
200 Back,Women,2014,2014 B,B,1:59.19,200 BackWomen20142014 BB
200 Back,Women,2014,2014 Invited,I,1:55.19,200 BackWomen20142014 InvitedI
200 Breast,Women,2014,2014 A,A,2:08.29,200 BreastWomen20142014 AA
200 Breast,Women,2014,2014 B,B,2:15.99,200 BreastWomen20142014 BB
200 Breast,Women,2014,2014 Invited,I,2:11.22,200 BreastWomen20142014 InvitedI
200 Fly,Women,2014,2014 A,A,1:54.54,200 FlyWomen20142014 AA
200 Fly,Women,2014,2014 B,B,1:59.59,200 FlyWomen20142014 BB
200 Fly,Women,2014,2014 Invited,I,1:56.79,200 FlyWomen20142014 InvitedI
200 Free,Women,2014,2014 A,A,1:43.91,200 FreeWomen20142014 AA
200 Free,Women,2014,2014 B,B,1:47.99,200 FreeWomen20142014 BB
200 Free,Women,2014,2014 Invited,I,1:46.03,200 FreeWomen20142014 InvitedI
200 Free Relay,Women,2014,2014 A,A,1:29.65,200 Free RelayWomen20142014 AA
200 Free Relay,Women,2014,2014 B,B,1:30.43,200 Free RelayWomen20142014 BB
200 Free Relay,Women,2014,2014 Invited,I,1:30.35,200 Free RelayWomen20142014 InvitedI
200 IM,Women,2014,2014 A,A,1:55.72,200 IMWomen20142014 AA
200 IM,Women,2014,2014 B,B,2:01.59,200 IMWomen20142014 BB
200 IM,Women,2014,2014 Invited,I,1:58.13,200 IMWomen20142014 InvitedI
200 Medley Relay,Women,2014,2014 A,A,1:38.01,200 Medley RelayWomen20142014 AA
200 Medley Relay,Women,2014,2014 B,B,1:38.81,200 Medley RelayWomen20142014 BB
200 Medley Relay,Women,2014,2014 Invited,I,1:38.58,200 Medley RelayWomen20142014 InvitedI
400 Free Relay,Women,2014,2014 A,A,3:16.84,400 Free RelayWomen20142014 AA
400 Free Relay,Women,2014,2014 B,B,3:18.99,400 Free RelayWomen20142014 BB
400 Free Relay,Women,2014,2014 Invited,I,3:36.19,400 Free RelayWomen20142014 InvitedI
400 IM,Women,2014,2014 A,A,4:05.44,400 IMWomen20142014 AA
400 IM,Women,2014,2014 B,B,4:19.39,400 IMWomen20142014 BB
400 IM,Women,2014,2014 Invited,I,4:12.63,400 IMWomen20142014 InvitedI
400 Medley Relay,Women,2014,2014 A,A,3:34.65,400 Medley RelayWomen20142014 AA
400 Medley Relay,Women,2014,2014 B,B,3:36.46,400 Medley RelayWomen20142014 BB
400 Medley Relay,Women,2014,2014 Invited,I,3:35.79,400 Medley RelayWomen20142014 InvitedI
50 Free,Women,2014,2014 A,A,21.99,50 FreeWomen20142014 AA
50 Free,Women,2014,2014 B,B,22.99,50 FreeWomen20142014 BB
50 Free,Women,2014,2014 Invited,I,22.40,50 FreeWomen20142014 InvitedI
500 Free,Women,2014,2014 A,A,4:37.01,500 FreeWomen20142014 AA
500 Free,Women,2014,2014 B,B,4:47.79,500 FreeWomen20142014 BB
500 Free,Women,2014,2014 Invited,I,4:42.79,500 FreeWomen20142014 InvitedI
800 Free Relay,Women,2014,2014 A,A,7:07.31,800 Free RelayWomen20142014 AA
800 Free Relay,Women,2014,2014 B,B,7:12.21,800 Free RelayWomen20142014 BB
800 Free Relay,Women,2014,2014 Invited,I,7:11.92,800 Free RelayWomen20142014 InvitedI
